Player (Squad),Nation,Pos.,Comp.,Age,Born,Matches,Starts,Mins,Gls,Assists,G+A,Gls-PKGls,PKGls,PKatt,Y. Cards,R. Cards,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GK Gls Ag,GK SoTA,GK Saves,GK Save%,GK Cl. Sh.,GK Cl. Sh%,GK PKag,GK PKGls Ag,GK PK Saves,GK PK Missed,GK PK Save%,GK FKGls Ag,GK Corner Gls Ag,GK Own Gls Ag,GK PSxG Ag,GK PSxG/SoT Ag,GK PSxG-Gls Ag,GK LaunchCmp,GK LaunchAtt,GK LaunchCmp%,GK Pass-GK att,GK ThrowsAtt,GK Launch Pass%,GK PassAvgLen,GK GK Att,GK GK Launch%,GK GK AvgLen,GK Crs Ag,GK Crs Caught,GK Crs Caught%,GK Out PenArea,GK AvgGoalDist,Shots,SoT,SoT%,Gls/Sh,Gls/SoT,Shot Avg Dist,FK Shots,npxG/Sh,Gls-xG,npGls-npxG,Cmp Pass,Att Pass,Cmp Pass%,Pass Tot Dist,Pass Prog Dist,SPass Cmp,SPass Att,SPass Cmp%,MPass Cmp,MPass Att,MPass Cmp%,LPass Cmp,LPass Att,LPass Cmp%,xA,Assists-xAG,Key Pass,1/3 Pass,Area Pass,Area Cross,Live Pass,Dead Pass,FK Pass,TB Pass,Switches,Crosses,Throw Ins,Corners,In. Corners,Out. Corners,Str. Corners,Pass Off.,Pass Blk.,SCA,SCA Live,SCA Dead,SCA TO,SCA Sh,SCA Foul,SCA Def.,GCA,GCA Live,GCA Dead,GCA TO,GCA Sh,GCA Foul,GCA Def.,Tkl,TklW,Tkl Def,Tkl Mid,Tkl Att,Drib Tkl,Drib Chall.,Drib Tkl%,Chall. Lost,Blocks,Sh. Bl.,Pass bl.,Int,Tkl+Int,Clr,Def Err,Tch,Tch DefArea,Tch DefThird,Tch MidThird,Thc AttThird,Tch AttArea,Thc Live,TO Att,TO Succ,TO Succ%,TO Tkld,TO Tkld%,Carries,Crr TotD,Crr PrgD,Crr AttThird,Crr AttArea,MisCtrl,Disp,Pass Rec,2Y. Cards,FoulC,FoulD,Offsides,PKWon,PKConc,Own Gls,Recov,AirW,AirL,AirW%,Value,Pos. Det.,Foot,fbref URL,Transfermarkt URL,PKGls%
Max Aarons (Bournemouth),ENG,DF,Premier League,23.0,2000.0,20,13,1237,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22,43,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,23.9,0,0.02,0.0,0.0,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,0.9,0.2,7,25,13,2,453,127,11,2,3,13,116,0,0,0,0,1,23,23,16,4,0,0,3,0,2,2,0,0,0,0,0,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,12,7,13,8,371,0,12,26,2,0,1,0,75,5,11,31.3,€16.00m,Defender - Right-Back,right,https://fbref.com/en/players/774cf58b/Max-Aarons,https://www.transfermarkt.co.uk/max-aarons/profil/spieler/471690,0.0
Brenden Aaronson (Union Berlin),USA,"MF,FW",Bundesliga,22.0,2000.0,30,14,1267,2,2,4,2,0,0,3,1,2.0,2.0,1.9,3.8,37,56,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,7,38.9,0.11,0.29,18.4,0,0.11,0.0,0.0,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2.0,0.1,22,30,14,3,439,29,3,5,1,22,12,6,2,3,0,4,21,53,41,1,8,3,0,0,8,6,0,2,0,0,0,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,29,9,41,38,457,1,15,25,5,0,0,0,88,13,16,44.8,€12.00m,Midfield - Attacking Midfield,right,https://fbref.com/en/players/5bc43860/Brenden-Aaronson,https://www.transfermarkt.co.uk/brenden-aaronson/profil/spieler/393323,0.0
Yunis Abdelhamid (Reims),MAR,DF,Ligue 1,35.0,1987.0,31,31,2781,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,36,137,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,7,33.3,0.14,0.43,15.0,0,0.13,0.6,0.4,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0.6,-0.3,8,129,3,0,1650,178,75,2,13,3,29,0,0,0,0,8,20,24,19,1,0,3,1,0,1,0,0,0,1,0,0,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,19,0,23,4,1403,0,26,12,0,0,0,1,149,61,37,62.2,€600k,Defender - Centre-Back,left,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,https://www.transfermarkt.co.uk/yunis-abdelhamid/profil/spieler/199704,100.0
Salis Abdul Samed (Lens),GHA,MF,Ligue 1,23.0,2000.0,27,17,1519,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,21.6,0,0.17,-0.8,-0.8,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,1.1,-0.5,6,87,5,2,875,18,17,0,1,3,1,0,0,0,0,2,17,27,27,0,0,0,0,0,3,3,0,0,0,0,0,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,33,0,23,11,780,0,34,16,0,0,3,0,89,2,7,22.2,€8.00m,Midfield - Defensive Midfield,right,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed,https://www.transfermarkt.co.uk/salis-abdul-samed/profil/spieler/688707,0.0
Laurent Abergel (Lorient),FRA,MF,Ligue 1,30.0,1993.0,33,32,2860,2,1,3,2,0,0,4,0,1.1,1.1,2.2,3.3,38,194,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,11,42.3,0.08,0.18,26.5,0,0.04,0.9,0.9,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1.9,-1.2,30,188,23,3,1743,88,68,6,13,34,14,0,0,0,0,5,25,81,67,3,2,1,2,6,5,3,0,1,0,0,1,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3,2164,105,553,1288,349,10,2164,65,44,67.7,18,27.7,1649,8707,3892,49,3,32,30,1502,0,36,36,1,0,0,0,226,15,14,51.7,€3.00m,Midfield - Defensive Midfield,right,https://fbref.com/en/players/31626657/Laurent-Abergel,https://www.transfermarkt.co.uk/laurent-abergel/profil/spieler/238626,0.0
Matthis Abline (Nantes),FRA,FW,Ligue 1,20.0,2003.0,22,12,1044,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28,20,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,19,45.2,0.12,0.26,17.4,0,0.09,1.2,1.2,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0.9,-2.0,17,6,7,2,218,12,0,2,1,7,1,0,0,0,0,1,11,38,30,0,5,2,1,0,2,0,0,1,0,1,0,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,24,14,50,14,287,0,10,13,6,1,0,0,39,15,27,35.7,€6.00m,Attack - Centre-Forward,right,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,https://www.transfermarkt.co.uk/matthis-abline/profil/spieler/659543,0.0
Abner (Betis),BRA,DF,La Liga,23.0,2000.0,23,15,1400,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14,33,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,15.4,0,0.03,-0.1,-0.1,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1.0,0.0,8,20,7,2,628,165,7,0,3,26,158,0,0,0,0,4,23,14,13,0,0,1,0,0,0,0,0,0,0,0,0,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,10,5,18,11,502,0,16,2,2,0,1,0,79,14,10,58.3,€7.00m,Defender - Left-Back,left,https://fbref.com/en/players/7f9c5d2d/Abner,https://www.transfermarkt.co.uk/abner/profil/spieler/646402,0.0
Zakaria Aboukhlal (Toulouse),MAR,"MF,FW",Ligue 1,23.0,2000.0,13,9,754,3,0,3,2,1,1,2,0,2.8,2.0,0.2,2.2,23,20,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,7,25.9,0.07,0.29,18.7,0,0.07,0.2,0.0,140,196,71.4,2025,599,70,95,73.7,53,66,80.3,6,8,75.0,1.1,-0.2,5,10,9,1,185,11,1,0,0,5,9,0,0,0,0,0,7,20,10,0,2,3,3,2,2,0,0,0,1,1,0,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0,305,1,27,123,161,38,304,31,8,25.8,22,71.0,233,1651,745,13,8,22,12,229,0,17,15,8,1,0,0,21,6,7,46.2,€10.00m,Attack - Right Winger,both,https://fbref.com/en/players/c2a6033c/Zakaria-Aboukhlal,https://www.transfermarkt.co.uk/zakaria-aboukhlal/profil/spieler/393238,100.0
Abdel Abqar (Alavés),MAR,DF,La Liga,24.0,1999.0,27,27,2312,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7,49,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,30.0,0.0,0.0,12.1,0,0.05,-0.5,-0.5,553,762,72.6,12370,4872,141,164,86.0,302,339,89.1,99,225,44.0,0.2,-0.2,3,61,2,0,704,55,50,0,17,2,4,0,0,0,0,3,10,12,9,0,0,2,1,0,0,0,0,0,0,0,0,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,6,0,15,1,499,0,33,23,1,0,2,1,109,39,36,52.0,€7.50m,Defender - Centre-Back,right,https://fbref.com/en/players/2bc7f211/Abdel-Abqar,https://www.transfermarkt.co.uk/abdel-abqar/profil/spieler/559979,0.0
Francesco Acerbi (Inter),ITA,DF,Serie A,35.0,1988.0,29,26,2388,3,1,4,3,0,0,1,0,1.6,1.6,1.8,3.4,21,87,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,40.0,0.2,0.5,12.0,0,0.11,1.4,1.4,1615,1781,90.7,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,1.3,-0.8,7,58,5,2,1719,60,43,0,11,9,8,0,0,0,0,2,5,22,19,0,0,3,0,0,1,1,0,0,0,0,0,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1,1977,219,941,946,98,25,1977,3,2,66.7,1,33.3,1211,5779,3081,11,0,4,1,1446,0,19,24,3,0,0,0,102,70,37,65.4,€3.50m,Defender - Centre-Back,left,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,https://www.transfermarkt.co.uk/francesco-acerbi/profil/spieler/131075,0.0
