Player (Squad),Nation,Pos.,Comp.,Age,Born,Matches,Starts,Mins,Gls,Assists,G+A,Gls-PKGls,PKGls,PKatt,Y. Cards,R. Cards,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GK Gls Ag,GK SoTA,GK Saves,GK Save%,GK Cl. Sh.,GK Cl. Sh%,GK PKag,GK PKGls Ag,GK PK Saves,GK PK Missed,GK PK Save%,GK FKGls Ag,GK Corner Gls Ag,GK Own Gls Ag,GK PSxG Ag,GK PSxG/SoT Ag,GK PSxG-Gls Ag,GK LaunchCmp,GK LaunchAtt,GK LaunchCmp%,GK Pass-GK att,GK ThrowsAtt,GK Launch Pass%,GK PassAvgLen,GK GK Att,GK GK Launch%,GK GK AvgLen,GK Crs Ag,GK Crs Caught,GK Crs Caught%,GK Out PenArea,GK AvgGoalDist,Shots,SoT,SoT%,Gls/Sh,Gls/SoT,Shot Avg Dist,FK Shots,npxG/Sh,Gls-xG,npGls-npxG,Cmp Pass,Att Pass,Cmp Pass%,Pass Tot Dist,Pass Prog Dist,SPass Cmp,SPass Att,SPass Cmp%,MPass Cmp,MPass Att,MPass Cmp%,LPass Cmp,LPass Att,LPass Cmp%,xA,Assists-xAG,Key Pass,1/3 Pass,Area Pass,Area Cross,Live Pass,Dead Pass,FK Pass,TB Pass,Switches,Crosses,Throw Ins,Corners,In. Corners,Out. Corners,Str. Corners,Pass Off.,Pass Blk.,SCA,SCA Live,SCA Dead,SCA TO,SCA Sh,SCA Foul,SCA Def.,GCA,GCA Live,GCA Dead,GCA TO,GCA Sh,GCA Foul,GCA Def.,Tkl,TklW,Tkl Def,Tkl Mid,Tkl Att,Drib Tkl,Drib Chall.,Drib Tkl%,Chall. Lost,Blocks,Sh. Bl.,Pass bl.,Int,Tkl+Int,Clr,Def Err,Tch,Tch DefArea,Tch DefThird,Tch MidThird,Thc AttThird,Tch AttArea,Thc Live,TO Att,TO Succ,TO Succ%,TO Tkld,TO Tkld%,Carries,Crr TotD,Crr PrgD,Crr AttThird,Crr AttArea,MisCtrl,Disp,Pass Rec,2Y. Cards,FoulC,FoulD,Offsides,PKWon,PKConc,Own Gls,Recov,AirW,AirL,AirW%,Value,Pos. Det.,Foot,fbref URL,Transfermarkt URL,PKGls%
Max Aarons (Bournemouth),ENG,DF,Premier League,23.0,2000.0,20,13,1237,0.0,0.07,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.06,0.07,1.6,3.13,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,23.9,0.0,0.02,0.0,0.0,32.74,42.27,77.5,538.54,202.92,16.01,18.04,88.7,13.68,17.1,80.0,2.47,4.58,54.0,0.07,0.01,0.51,1.82,0.95,0.15,32.96,9.24,0.8,0.15,0.22,0.95,8.44,0.0,0.0,0.0,0.0,0.07,1.67,1.67,1.16,0.29,0.0,0.0,0.22,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,2.11,1.38,1.46,0.51,0.15,1.46,2.47,58.8,1.02,0.65,0.36,0.29,0.58,2.69,1.96,0.0,51.73,3.13,18.33,22.05,12.0,0.8,51.73,2.47,1.02,41.2,0.87,35.3,26.48,158.17,81.56,0.87,0.51,0.95,0.58,26.99,0.0,0.87,1.89,0.15,0.0,0.07,0.0,5.46,0.36,0.8,31.3,€16.00m,Defender - Right-Back,right,https://fbref.com/en/players/774cf58b/Max-Aarons,https://www.transfermarkt.co.uk/max-aarons/profil/spieler/471690,0.0
Brenden Aaronson (Union Berlin),USA,"MF,FW",Bundesliga,22.0,2000.0,30,14,1267,0.14,0.14,0.28,0.14,0.0,0.0,0.21,0.07,0.14,0.14,0.13,0.27,2.63,3.98,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.5,38.9,0.11,0.29,18.4,0.0,0.11,0.0,0.0,25.93,33.53,77.3,347.36,106.98,14.63,17.05,85.8,7.46,9.23,80.8,1.35,2.27,59.4,0.14,0.01,1.56,2.13,0.99,0.21,31.18,2.06,0.21,0.36,0.07,1.56,0.85,0.43,0.14,0.21,0.0,0.28,1.49,3.76,2.91,0.07,0.57,0.21,0.0,0.0,0.57,0.43,0.0,0.14,0.0,0.0,0.0,2.27,1.28,0.92,0.92,0.43,1.14,2.27,50.0,1.14,1.85,0.07,1.78,0.14,2.42,0.28,0.0,47.95,0.78,7.67,21.38,20.81,3.34,47.95,5.47,2.42,44.2,2.91,53.2,28.84,193.28,98.52,2.06,0.64,2.91,2.7,32.46,0.07,1.07,1.78,0.36,0.0,0.0,0.0,6.25,0.92,1.14,44.8,€12.00m,Midfield - Attacking Midfield,right,https://fbref.com/en/players/5bc43860/Brenden-Aaronson,https://www.transfermarkt.co.uk/brenden-aaronson/profil/spieler/393323,0.0
Yunis Abdelhamid (Reims),MAR,DF,Ligue 1,35.0,1987.0,31,31,2781,0.13,0.0,0.13,0.1,0.03,0.03,0.16,0.0,0.11,0.08,0.01,0.09,1.17,4.43,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.23,33.3,0.14,0.43,15.0,0.0,0.13,0.02,0.01,50.23,59.42,84.5,958.51,313.01,15.76,17.73,88.9,28.9,31.59,91.5,4.56,8.16,56.0,0.02,-0.01,0.26,4.17,0.1,0.0,53.4,5.76,2.43,0.06,0.42,0.1,0.94,0.0,0.0,0.0,0.0,0.26,0.65,0.78,0.61,0.03,0.0,0.1,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,2.07,1.13,1.17,0.74,0.16,0.84,1.46,57.8,0.61,1.65,1.04,0.61,1.26,3.33,3.53,0.06,70.71,9.48,31.59,36.21,3.69,1.13,70.68,0.49,0.26,53.3,0.23,46.7,48.74,280.36,159.26,0.61,0.0,0.74,0.13,45.4,0.0,0.84,0.39,0.0,0.0,0.0,0.03,4.82,1.97,1.2,62.2,€600k,Defender - Centre-Back,left,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,https://www.transfermarkt.co.uk/yunis-abdelhamid/profil/spieler/199704,100.0
Salis Abdul Samed (Lens),GHA,MF,Ligue 1,23.0,2000.0,27,17,1519,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.05,0.05,0.03,0.08,0.53,4.62,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,21.6,0.0,0.17,-0.05,-0.05,47.16,53.03,88.9,738.84,178.22,23.29,25.66,90.8,19.55,21.33,91.7,2.43,3.2,75.9,0.07,-0.03,0.36,5.15,0.3,0.12,51.84,1.07,1.01,0.0,0.06,0.18,0.06,0.0,0.0,0.0,0.0,0.12,1.01,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,1.24,0.83,0.47,0.59,0.18,0.47,1.07,44.4,0.59,0.71,0.06,0.65,0.71,1.96,1.07,0.0,60.55,1.24,9.95,38.33,12.92,0.41,60.55,1.13,0.41,36.8,0.65,57.9,48.76,258.39,99.72,1.96,0.0,1.36,0.65,46.21,0.0,2.01,0.95,0.0,0.0,0.18,0.0,5.27,0.12,0.41,22.2,€8.00m,Midfield - Defensive Midfield,right,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed,https://www.transfermarkt.co.uk/salis-abdul-samed/profil/spieler/688707,0.0
Laurent Abergel (Lorient),FRA,MF,Ligue 1,30.0,1993.0,33,32,2860,0.06,0.03,0.09,0.06,0.0,0.0,0.13,0.0,0.03,0.03,0.07,0.1,1.2,6.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.35,42.3,0.08,0.18,26.5,0.0,0.04,0.03,0.03,48.81,57.78,84.5,861.67,271.04,19.79,22.25,89.0,22.37,25.24,88.7,4.72,7.33,64.4,0.06,-0.04,0.94,5.92,0.72,0.09,54.85,2.77,2.14,0.19,0.41,1.07,0.44,0.0,0.0,0.0,0.0,0.16,0.79,2.55,2.11,0.09,0.06,0.03,0.06,0.19,0.16,0.09,0.0,0.03,0.0,0.0,0.03,2.67,1.64,1.35,1.07,0.25,1.2,3.02,39.6,1.83,0.91,0.19,0.72,1.92,4.59,1.92,0.09,68.1,3.3,17.4,40.53,10.98,0.31,68.1,2.05,1.38,67.7,0.57,27.7,51.89,274.0,122.48,1.54,0.09,1.01,0.94,47.27,0.0,1.13,1.13,0.03,0.0,0.0,0.0,7.11,0.47,0.44,51.7,€3.00m,Midfield - Defensive Midfield,right,https://fbref.com/en/players/31626657/Laurent-Abergel,https://www.transfermarkt.co.uk/laurent-abergel/profil/spieler/238626,0.0
Matthis Abline (Nantes),FRA,FW,Ligue 1,20.0,2003.0,22,12,1044,0.43,0.0,0.43,0.43,0.0,0.0,0.09,0.0,0.33,0.33,0.17,0.5,2.41,1.72,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,1.64,45.2,0.12,0.26,17.4,0.0,0.09,0.1,0.1,13.97,19.91,70.1,207.76,38.62,7.84,11.03,71.1,4.48,5.86,76.5,0.78,0.95,81.8,0.08,-0.17,1.47,0.52,0.6,0.17,18.79,1.03,0.0,0.17,0.09,0.6,0.09,0.0,0.0,0.0,0.0,0.09,0.95,3.28,2.59,0.0,0.43,0.17,0.09,0.0,0.17,0.0,0.0,0.09,0.0,0.09,0.0,0.78,0.34,0.34,0.26,0.17,0.26,0.69,37.5,0.43,0.26,0.0,0.26,0.26,1.03,0.43,0.0,33.28,0.78,3.1,13.19,18.02,5.6,33.28,2.84,1.64,57.6,1.21,42.4,25.34,170.6,78.1,2.07,1.21,4.31,1.21,24.74,0.0,0.86,1.12,0.52,0.09,0.0,0.0,3.36,1.29,2.33,35.7,€6.00m,Attack - Centre-Forward,right,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,https://www.transfermarkt.co.uk/matthis-abline/profil/spieler/659543,0.0
Abner (Betis),BRA,DF,La Liga,23.0,2000.0,23,15,1400,0.0,0.06,0.06,0.0,0.0,0.0,0.19,0.0,0.01,0.01,0.06,0.07,0.9,2.12,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,15.4,0.0,0.03,-0.01,-0.01,39.54,51.24,77.2,592.14,292.63,22.56,25.33,89.1,13.05,17.04,76.6,2.38,5.08,46.8,0.06,0.0,0.51,1.29,0.45,0.13,40.37,10.61,0.45,0.0,0.19,1.67,10.16,0.0,0.0,0.0,0.0,0.26,1.48,0.9,0.84,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,1.22,0.96,0.58,0.06,1.09,2.19,50.0,1.09,1.48,0.32,1.16,0.96,2.57,3.99,0.0,62.1,4.63,22.11,26.04,14.53,1.8,62.1,0.84,0.45,53.8,0.32,38.5,28.74,115.84,61.01,0.64,0.32,1.16,0.71,32.27,0.0,1.03,0.13,0.13,0.0,0.06,0.0,5.08,0.9,0.64,58.3,€7.00m,Defender - Left-Back,left,https://fbref.com/en/players/7f9c5d2d/Abner,https://www.transfermarkt.co.uk/abner/profil/spieler/646402,0.0
Zakaria Aboukhlal (Toulouse),MAR,"MF,FW",Ligue 1,23.0,2000.0,13,9,754,0.36,0.0,0.36,0.24,0.12,0.12,0.24,0.0,0.33,0.24,0.02,0.26,2.75,2.39,8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.84,25.9,0.07,0.29,18.7,0.0,0.07,0.02,0.0,16.71,23.4,71.4,241.71,71.5,8.36,11.34,73.7,6.33,7.88,80.3,0.72,0.95,75.0,0.13,-0.02,0.6,1.19,1.07,0.12,22.08,1.31,0.12,0.0,0.0,0.6,1.07,0.0,0.0,0.0,0.0,0.0,0.84,2.39,1.19,0.0,0.24,0.36,0.36,0.24,0.24,0.0,0.0,0.0,0.12,0.12,0.0,1.07,0.95,0.12,0.6,0.36,0.36,1.43,25.0,1.07,1.07,0.12,0.95,0.12,1.19,0.24,0.0,36.41,0.12,3.22,14.68,19.22,4.54,36.29,3.7,0.95,25.8,2.63,71.0,27.81,197.07,88.93,1.55,0.95,2.63,1.43,27.33,0.0,2.03,1.79,0.95,0.12,0.0,0.0,2.51,0.72,0.84,46.2,€10.00m,Attack - Right Winger,both,https://fbref.com/en/players/c2a6033c/Zakaria-Aboukhlal,https://www.transfermarkt.co.uk/zakaria-aboukhlal/profil/spieler/393238,100.0
Abdel Abqar (Alavés),MAR,DF,La Liga,24.0,1999.0,27,27,2312,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.02,0.02,0.01,0.02,0.27,1.91,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.12,30.0,0.0,0.0,12.1,0.0,0.05,-0.02,-0.02,21.53,29.66,72.6,481.53,189.65,5.49,6.38,86.0,11.76,13.2,89.1,3.85,8.76,44.0,0.01,-0.01,0.12,2.37,0.08,0.0,27.4,2.14,1.95,0.0,0.66,0.08,0.16,0.0,0.0,0.0,0.0,0.12,0.39,0.47,0.35,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.74,1.09,0.19,0.08,0.82,1.36,60.0,0.54,1.21,1.01,0.19,0.9,2.26,4.48,0.0,40.17,7.44,22.19,16.43,1.63,0.82,40.17,0.19,0.12,60.0,0.04,20.0,19.15,95.76,55.2,0.23,0.0,0.58,0.04,19.42,0.0,1.28,0.9,0.04,0.0,0.08,0.04,4.24,1.52,1.4,52.0,€7.50m,Defender - Centre-Back,right,https://fbref.com/en/players/2bc7f211/Abdel-Abqar,https://www.transfermarkt.co.uk/abdel-abqar/profil/spieler/559979,0.0
Francesco Acerbi (Inter),ITA,DF,Serie A,35.0,1988.0,29,26,2388,0.11,0.04,0.15,0.11,0.0,0.0,0.04,0.0,0.06,0.06,0.07,0.13,0.79,3.28,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.23,40.0,0.2,0.5,12.0,0.0,0.11,0.05,0.05,60.87,67.12,90.7,1105.25,345.75,22.65,24.5,92.5,32.26,34.22,94.3,4.97,6.75,73.7,0.05,-0.03,0.26,2.19,0.19,0.08,64.79,2.26,1.62,0.0,0.41,0.34,0.3,0.0,0.0,0.0,0.0,0.08,0.19,0.83,0.72,0.0,0.0,0.11,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.83,0.49,0.6,0.23,0.0,0.41,0.53,78.6,0.11,0.75,0.49,0.26,1.21,2.04,2.9,0.04,74.51,8.25,35.46,35.65,3.69,0.94,74.51,0.11,0.08,66.7,0.04,33.3,45.64,217.8,116.12,0.41,0.0,0.15,0.04,54.5,0.0,0.72,0.9,0.11,0.0,0.0,0.0,3.84,2.64,1.39,65.4,€3.50m,Defender - Centre-Back,left,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,https://www.transfermarkt.co.uk/francesco-acerbi/profil/spieler/131075,0.0
