Player,90s,Team,fbref URL,Player (Squad),Market Value,Position detailed,Foot,Transfermarkt URL
Max Aarons,13.7,Bournemouth,https://fbref.com/en/players/774cf58b/Max-Aarons,Max Aarons (Bournemouth),"16,00 mill. €",Defender - Right-Back,right,https://www.transfermarkt.co.uk/max-aarons/profil/spieler/471690
Brenden Aaronson,14.1,Union Berlin,https://fbref.com/en/players/5bc43860/Brenden-Aaronson,Brenden Aaronson (Union Berlin),"12,00 mill. €",Midfield - Attacking Midfield,right,https://www.transfermarkt.co.uk/brenden-aaronson/profil/spieler/393323
Yunis Abdelhamid,30.9,Reims,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,Yunis Abdelhamid (Reims),600 mil €,Defender - Centre-Back,left,https://www.transfermarkt.co.uk/yunis-abdelhamid/profil/spieler/199704
Salis Abdul Samed,16.9,Lens,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed,Salis Abdul Samed (Lens),"8,00 mill. €",Midfield - Defensive Midfield,right,https://www.transfermarkt.co.uk/salis-abdul-samed/profil/spieler/688707
Laurent Abergel,31.8,Lorient,https://fbref.com/en/players/31626657/Laurent-Abergel,Laurent Abergel (Lorient),"3,00 mill. €",Midfield - Defensive Midfield,right,https://www.transfermarkt.co.uk/laurent-abergel/profil/spieler/238626
Matthis Abline,11.6,Nantes,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,Matthis Abline (Nantes),"6,00 mill. €",Attack - Centre-Forward,right,https://www.transfermarkt.co.uk/matthis-abline/profil/spieler/659543
Abner,15.6,Betis,https://fbref.com/en/players/7f9c5d2d/Abner,Abner (Betis),"7,00 mill. €",Defender - Left-Back,left,https://www.transfermarkt.co.uk/abner/profil/spieler/646402
Zakaria Aboukhlal,8.4,Toulouse,https://fbref.com/en/players/c2a6033c/Zakaria-Aboukhlal,Zakaria Aboukhlal (Toulouse),"10,00 mill. €",Attack - Right Winger,both,https://www.transfermarkt.co.uk/zakaria-aboukhlal/profil/spieler/393238
Abdel Abqar,25.7,Alavés,https://fbref.com/en/players/2bc7f211/Abdel-Abqar,Abdel Abqar (Alavés),"7,50 mill. €",Defender - Centre-Back,right,https://www.transfermarkt.co.uk/abdel-abqar/profil/spieler/559979
Francesco Acerbi,26.5,Inter,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,Francesco Acerbi (Inter),"3,50 mill. €",Defender - Centre-Back,left,https://www.transfermarkt.co.uk/francesco-acerbi/profil/spieler/131075
Marcos Acuña,14.4,Sevilla,https://fbref.com/en/players/81442ecb/Marcos-Acuna,Marcos Acuña (Sevilla),"4,00 mill. €",Defender - Left-Back,left,https://www.transfermarkt.co.uk/marcos-acuna/profil/spieler/60410
Bénie Adama Traore,5.6,Nantes,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,Bénie Adama Traore (Nantes),"4,00 mill. €",Attack - Centre-Forward,right,https://www.transfermarkt.co.uk/benie-traore/profil/spieler/852024
Akor Adams,25.0,Montpellier,https://fbref.com/en/players/2ccd39ed/Akor-Adams,Akor Adams (Montpellier),"10,00 mill. €",Attack - Centre-Forward,right,https://www.transfermarkt.co.uk/akor-adams/profil/spieler/607034
Sargis Adamyan,8.9,Köln,https://fbref.com/en/players/22919e97/Sargis-Adamyan,Sargis Adamyan (Köln),600 mil €,Attack - Centre-Forward,right,https://www.transfermarkt.co.uk/sargis-adamyan/profil/spieler/125614
Tosin Adarabioyo,18.0,Fulham,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,Tosin Adarabioyo (Fulham),"20,00 mill. €",Defender - Centre-Back,right,https://www.transfermarkt.co.uk/tosin-adarabioyo/profil/spieler/258878
Elijah Adebayo,15.8,Luton Town,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,Elijah Adebayo (Luton Town),"12,00 mill. €",Attack - Centre-Forward,right,https://www.transfermarkt.co.uk/elijah-adebayo/profil/spieler/319900
Karim Adeyemi,10.1,Dortmund,https://fbref.com/en/players/501055d8/Karim-Adeyemi,Karim Adeyemi (Dortmund),"28,00 mill. €",Attack - Left Winger,left,https://www.transfermarkt.co.uk/karim-adeyemi/profil/spieler/496094
Simon Adingra,24.7,Brighton,https://fbref.com/en/players/4dcec659/Simon-Adingra,Simon Adingra (Brighton),"30,00 mill. €",Attack - Right Winger,right,https://www.transfermarkt.co.uk/simon-adingra/profil/spieler/658536
Nathaniel Adjei,13.8,Lorient,https://fbref.com/en/players/c55de1f5/Nathaniel-Adjei,Nathaniel Adjei (Lorient),"2,50 mill. €",Defender - Centre-Back,right,https://www.transfermarkt.co.uk/nathaniel-adjei/profil/spieler/646829
Amine Adli,10.0,Leverkusen,https://fbref.com/en/players/dcfb17f4/Amine-Adli,Amine Adli (Leverkusen),"30,00 mill. €",Attack - Left Winger,left,https://www.transfermarkt.co.uk/amine-adli/profil/spieler/532776
Yacine Adli,15.6,Milan,https://fbref.com/en/players/26777636/Yacine-Adli,Yacine Adli (Milan),"15,00 mill. €",Midfield - Defensive Midfield,right,https://www.transfermarkt.co.uk/yacine-adli/profil/spieler/395236
Michel Aebischer,24.8,Bologna,https://fbref.com/en/players/f9c927de/Michel-Aebischer,Michel Aebischer (Bologna),"9,00 mill. €",Midfield - Central Midfield,right,https://www.transfermarkt.co.uk/michel-aebischer/profil/spieler/237658
Emmanuel Agbadou,28.8,Reims,https://fbref.com/en/players/75f1ed80/Emmanuel-Agbadou,Emmanuel Agbadou (Reims),"9,00 mill. €",Defender - Centre-Back,right,https://www.transfermarkt.co.uk/emmanuel-agbadou/profil/spieler/683895
Lucien Agoume,8.6,Sevilla,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,Lucien Agoume (Sevilla),"6,00 mill. €",Midfield - Defensive Midfield,right,https://www.transfermarkt.co.uk/lucien-agoume/profil/spieler/569384
Felix Agu,17.9,Werder Bremen,https://fbref.com/en/players/cb6d81b3/Felix-Agu,Felix Agu (Werder Bremen),"4,00 mill. €",Defender - Right-Back,right,https://www.transfermarkt.co.uk/felix-agu/profil/spieler/393512
Nayef Aguerd,20.6,West Ham,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,Nayef Aguerd (West Ham),"35,00 mill. €",Defender - Centre-Back,left,https://www.transfermarkt.co.uk/nayef-aguerd/profil/spieler/361914
Ruben Aguilar,21.4,Lens,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,Ruben Aguilar (Lens),"5,00 mill. €",Defender - Right-Back,right,https://www.transfermarkt.co.uk/ruben-aguilar/profil/spieler/203746
Anel Ahmedhodžić,29.4,Sheffield Utd,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,Anel Ahmedhodžić (Sheffield Utd),"18,00 mill. €",Defender - Centre-Back,right,https://www.transfermarkt.co.uk/anel-ahmedhodzic/profil/spieler/377468
Ola Aina,18.8,Nott'ham Forest,https://fbref.com/en/players/246d153b/Ola-Aina,Ola Aina (Nott'ham Forest),"12,00 mill. €",Defender - Right-Back,right,https://www.transfermarkt.co.uk/ola-aina/profil/spieler/236490
Rayan Aït-Nouri,25.9,Wolves,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,Rayan Aït-Nouri (Wolves),"35,00 mill. €",Defender - Left-Back,left,https://www.transfermarkt.co.uk/rayan-ait-nouri/profil/spieler/578391
Tosin Aiyegun,10.0,Lorient,https://fbref.com/en/players/9c4f39b3/Tosin-Aiyegun,Tosin Aiyegun (Lorient),"3,00 mill. €",Attack - Centre-Forward,right,https://www.transfermarkt.co.uk/aiyegun-tosin/profil/spieler/239647
Kristoffer Ajer,20.4,Brentford,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,Kristoffer Ajer (Brentford),"15,00 mill. €",Defender - Centre-Back,right,https://www.transfermarkt.co.uk/kristoffer-ajer/profil/spieler/328658
Ludovic Ajorque,15.1,Mainz 05,https://fbref.com/en/players/462475ed/Ludovic-Ajorque,Ludovic Ajorque (Mainz 05),"3,00 mill. €",Attack - Centre-Forward,left,https://www.transfermarkt.co.uk/ludovic-ajorque/profil/spieler/283994
Manuel Akanji,27.9,Manchester City,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,Manuel Akanji (Manchester City),"45,00 mill. €",Defender - Centre-Back,right,https://www.transfermarkt.co.uk/manuel-akanji/profil/spieler/284730
Nathan Aké,22.7,Manchester City,https://fbref.com/en/players/eaeca114/Nathan-Ake,Nathan Aké (Manchester City),"40,00 mill. €",Defender - Centre-Back,left,https://www.transfermarkt.co.uk/nathan-ake/profil/spieler/177476
Ilias Akhomach,16.8,Villarreal,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,Ilias Akhomach (Villarreal),"15,00 mill. €",Attack - Right Winger,left,https://www.transfermarkt.co.uk/ilias-akhomach/profil/spieler/709969
Sergio Akieme,18.6,Almería,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,Sergio Akieme (Almería),"7,00 mill. €",Defender - Left-Back,left,https://www.transfermarkt.co.uk/sergio-akieme/profil/spieler/355627
Sergio Akieme,9.1,Reims,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,Sergio Akieme (Reims),"7,00 mill. €",Defender - Left-Back,left,https://www.transfermarkt.co.uk/sergio-akieme/profil/spieler/355627
Maghnes Akliouche,17.9,Monaco,https://fbref.com/en/players/b625b241/Maghnes-Akliouche,Maghnes Akliouche (Monaco),"25,00 mill. €",Midfield - Attacking Midfield,left,https://www.transfermarkt.co.uk/maghnes-akliouche/profil/spieler/745200
Jean-Daniel Akpa-Akpro,7.8,Monza,https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro,Jean-Daniel Akpa-Akpro (Monza),€1.00m,Midfield - Central Midfield,right,https://www.transfermarkt.co.uk/jean-daniel-akpa-akpro/profil/spieler/170481
Kevin Akpoguma,12.2,Hoffenheim,https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma,Kevin Akpoguma (Hoffenheim),"3,00 mill. €",Defender - Centre-Back,right,https://www.transfermarkt.co.uk/kevin-akpoguma/profil/spieler/160241
David Alaba,12.8,Real Madrid,https://fbref.com/en/players/05439de2/David-Alaba,David Alaba (Real Madrid),"20,00 mill. €",Defender - Centre-Back,left,https://www.transfermarkt.co.uk/david-alaba/profil/spieler/59016
Luis Alberto,25.7,Lazio,https://fbref.com/en/players/5294a83f/Luis-Alberto,Luis Alberto (Lazio),"11,00 mill. €",Midfield - Central Midfield,right,https://www.transfermarkt.co.uk/luis-alberto/profil/spieler/128220
Raúl Albiol,22.6,Villarreal,https://fbref.com/en/players/4bd414c1/Raul-Albiol,Raúl Albiol (Villarreal),"1,50 mill. €",Defender - Centre-Back,right,https://www.transfermarkt.co.uk/raul-albiol/profil/spieler/15452
Rubén Alcaraz,34.8,Cádiz,https://fbref.com/en/players/036bba5f/Ruben-Alcaraz,Rubén Alcaraz (Cádiz),"1,50 mill. €",Midfield - Central Midfield,right,https://www.transfermarkt.co.uk/ruben-alcaraz/profil/spieler/247250
Omar Alderete,24.4,Getafe,https://fbref.com/en/players/bb08bce9/Omar-Alderete,Omar Alderete (Getafe),"5,00 mill. €",Defender - Centre-Back,left,https://www.transfermarkt.co.uk/omar-alderete/profil/spieler/353032
Iván Alejo,18.8,Cádiz,https://fbref.com/en/players/3d7e48ce/Ivan-Alejo,Iván Alejo (Cádiz),"1,50 mill. €",Attack - Right Winger,right,https://www.transfermarkt.co.uk/ivan-alejo/profil/spieler/281755
Carles Aleñá,11.3,Getafe,https://fbref.com/en/players/6c811eb7/Carles-Alena,Carles Aleñá (Getafe),"3,00 mill. €",Midfield - Central Midfield,left,https://www.transfermarkt.co.uk/carles-alena/profil/spieler/284854
Trent Alexander-Arnold,23.9,Liverpool,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,Trent Alexander-Arnold (Liverpool),"70,00 mill. €",Defender - Right-Back,right,https://www.transfermarkt.co.uk/trent-alexander-arnold/profil/spieler/314353
